Entry	Entry Name
Q9FI78	HST_ARATH
Q9FIW4	BGL42_ARATH
Q9FJA2	TT2_ARATH
Q9FJZ9	PER72_ARATH
Q9FK25	OMT1_ARATH
Q9FLC0	PER52_ARATH
Q9FMT1	LEU31_ARATH
Q9FN52	MAM3_ARATH
Q9FUS6	GSTUD_ARATH
Q9FUS8	GSTUH_ARATH
Q9FUY7	C79F2_ARATH
Q9FV70	E2FC_ARATH
Q9FVQ6	PILR1_ARATH
Q9FX43	M2K9_ARATH
Q9FZ80	SOT17_ARATH
Q9LD13	PILR2_THUPL
Q9LD14	PILR1_THUPL
Q9LE06	BCAT4_ARATH
Q9LE86	S8H_ARATH
Q9LFH0	AB37G_ARATH
Q9LFJ8	U78D2_ARATH
Q9LHF0	ZHD9_ARATH
Q9LHN8	F6H1_ARATH
Q9LJG3	ESM1_ARATH
Q9LK50	AB26G_ARATH
Q9LN86	DRE1F_ARATH
Q9LPM9	BCAT6_ARATH
Q9LQ32	GXM3_ARATH
Q9LU36	4CL4_ARATH
Q9LUT2	METK4_ARATH
Q9LVD6	C81F2_ARATH
Q9LVF0	U84A2_ARATH
Q9LVR1	U72E2_ARATH
Q9LW27	C71BF_ARATH
Q9LXG0	ZHD8_ARATH
Q9LY00	WRK70_ARATH
Q9LYT3	DTX41_ARATH
Q9LYT7	LEUD2_ARATH
Q9LYU3	EF113_ARATH
Q9M0A7	GGP1_ARATH
Q9M156	U72B1_ARATH
Q9M7B8	C79D1_MANES
Q9S725	4CL2_ARATH
Q9S777	4CL3_ARATH
Q9S7D1	DGDG1_ARATH
Q9S7I6	RPK2_ARATH
Q9S7Z3	PCS1_ARATH
Q9S9N9	CCR1_ARATH
Q9SA47	MYB58_ARATH
Q9SB48	NCPR1_ARATH
Q9SBL1	HMNGT_SORBI
Q9SDM9	JAL28_ARATH
Q9SGU3	MYB72_ARATH
Q9SIV0	SUR1_ARATH
Q9SJ10	CADH3_ARATH
Q9SJ25	CADH2_ARATH
Q9SJL8	METK3_ARATH
Q9SJZ2	PER17_ARATH
Q9SK55	NAC42_ARATH
Q9SKK4	GSL_ARATH
Q9SPP9	RG1_RAUSE
Q9SR37	BGL23_ARATH
Q9SRY5	GSTF7_ARATH
Q9SS04	GSOX1_ARATH
Q9SUM3	NCPR2_ARATH
Q9SUQ8	DIR6_ARATH
Q9SVP6	PILR2_ARATH
Q9SXE1	GSOX3_ARATH
Q9SXS3	C93C2_GLYEC
Q9SZ46	C82C4_ARATH
Q9XIE2	AB36G_ARATH
Q9ZRW8	GSTUJ_ARATH
Q9ZT64	CBG_PINCO
Q9ZVQ3	GSTZ1_ARATH
Q9ZW84	LEUD1_ARATH
Q9ZW85	LEUD3_ARATH
V4JPF6	V4JPF6_EUTSA
V4N1N3	V4N1N3_EUTSA
W5QJZ5	DIOX4_RUTGR
W8JDE2	C71Y1_CATRO
A0A068CNX1	VANSY_GLEHE
A0A072VPZ8	CAD1_MEDTR
A0A087G503	A0A087G503_ARAAL
A0A087GDZ7	A0A087GDZ7_ARAAL
A0A087GVN7	A0A087GVN7_ARAAL
A0A0D3BHD5	A0A0D3BHD5_BRAOL
A0A0E0CZ18	A0A0E0CZ18_9ORYZ
A0A0F7G352	VANSY_VANPL
A0A0L9V6R3	A0A0L9V6R3_PHAAN
A0A0N7F297	C82D6_SINHE
A0A0N9HQ36	2ODD_SINHE
A0A0N9HT29	C71BE_SINHE
A0A0N9HTU1	C71CU_SINHE
A0A0S2UWA5	CAMT3_PETHY
A0A0S2UWT1	CAMT2_PETHY
A0A151TN64	A0A151TN64_CAJCA
A0A199VB34	A0A199VB34_ANACO
A0A1B1FHP3	DPAS_CATRO
A0A1B6QNX6	A0A1B6QNX6_SORBI
A0A1D6GQ67	C71Z6_MAIZE
A0A1D6KUI6	KSL4_MAIZE
A0A1S3C5A2	A0A1S3C5A2_CUCME
A0A1V1FH01	DIR_GLYEC
A0A2K3NKT5	A0A2K3NKT5_TRIPR
A0A2Z5D850	C71Z3_PASSA
A0A2Z5D852	C71Z6_PASSA
A0A2Z5QL08	CHS_RHODA
A0A343URW7	TEX2_CATRO
A0A445DJS6	A0A445DJS6_ARAHY
A0A4U6T7J7	A0A4U6T7J7_SETVI
A0A5A4DV62	C9B27_PARPY
A0A5K1HFF3	A0A5K1HFF3_9MAGN
A0A5K1HMW1	A0A5K1HMW1_9MAGN
A0A5K1HN57	A0A5K1HN57_9MAGN
A0A5P1E9K8	A0A5P1E9K8_ASPOF
A0A6V7QUA5	A0A6V7QUA5_ANACO
A0A6V7QYG2	A0A6V7QYG2_ANACO
A0A9D5H7A2	A0A9D5H7A2_9LILI
A3F5F0	SDH_SINHE
A8CDR5	C80G2_COPJA
B1NF18	C719B_PAPSO
B1NF20	C719E_ARGME
B2WSM8	IGS1_CLABR
B2WSN0	EGS2_CLABR
B2WSN1	EGS1_PETHY
B4F9A4	DMAS1_MAIZE
B4FVP3	C71Z8_MAIZE
B5UAQ8	C7195_ESCCA
B6VRE6	A622L_TOBAC
B7FJD9	B7FJD9_MEDTR
B7UEU8	IFRH_NICGL
B8ALI0	AB5G_ORYSI
B8RCD3	AIMT1_PIMAN
C0SJS2	C71AJ_PASSA
C0SJS3	ANGS_PASSA
C0SUW7	ARID6_ARATH
C6TCL8	C6TCL8_SOYBN
D0VWT0	EGS1_CLABR
D2CGS0	C71Z1_AMMMJ
D2DRC4	BIPS2_SORAU
D2DRC5	BIPS3_SORAU
D2Y3X2	PUN1_CAPAN
D7LE03	D7LE03_ARALL
D7LMP8	D7LMP8_ARALL
D7LYD3	D7LYD3_ARALL
D7MQL3	D7MQL3_ARALL
E7C196	MER_ERYCB
F2Z9C1	P6H_ESCCA
F4JB53	F4JB53_ARATH
G9M9M1	F6H12_IPOBA
G9M9M2	F6H13_IPOBA
I1JNN8	DIR_SOYBN
I1PA74	I1PA74_ORYGL
L7T8H2	C719A_SINHE
M1T9X3	IRL1_GINBI
M8B5N8	M8B5N8_AEGTA
O04274	LDOX_PERFR
O04336	WRK21_ARATH
O04847	DV4H_CATRO
O23760	COMT1_CLABR
O24562	CADH_MAIZE
O64811	SCP9_ARATH
O65621	CADH6_ARATH
O65708	MWL2_ARATH
O65790	C81F1_ARATH
O80690	BGL46_ARATH
O81081	LAC2_ARATH
O82498	DIR12_ARATH
O82521	PAMT_CAPCH
P24397	HY6H_HYONI
P25872	PAL1_TOBAC
P28002	COMT1_MEDSA
P28034	CAMT_PETCR
P30359	CADH1_TOBAC
P30360	CADH2_TOBAC
P35511	PAL1_SOLLC
P41637	CADH_PINTA
P42734	CADH9_ARATH
P45724	PAL2_ARATH
P45725	PAL3_ARATH
P46010	NRL3_ARATH
P47195	C80A1_BERST
P48422	C86A1_ARATH
P50162	TRN1_DATST
P50163	TRN2_DATST
P51092	LDOX_PETHY
P52579	IFRH_TOBAC
Q00763	COMT1_POPTM
Q07512	FLS_PETHY
Q0JKZ0	SNL6_ORYSJ
Q0PCF4	DMAS1_HORVU
Q0WRB0	FACR5_ARATH
Q0WW21	U75C1_ARATH
Q10PE7	DMAS1_ORYSJ
Q1ZZU9	DIR_SINHE
Q27Z07	BIPS1_SORAU
Q2R0L0	LAC20_ORYSJ
Q2R114	CADH4_ORYSJ
Q2TE74	PCS2_LOTJA
Q2TSC7	PCS1_LOTJA
Q39152	FACR1_ARATH
Q39263	ZFP4_ARATH
Q39266	ZFP7_ARATH
Q40313	CAMT_MEDSA
Q41452	FLS_SOLTU
Q42600	C84A1_ARATH
