EC	min_Km
2.1.1.68	1.731e-05
2.1.1.7	3.654e-05
2.1.1.76	7e-06
2.1.1.89	3.5e-05
2.1.1.n7	2.3e-05
2.1.2.1	5.5e-07
2.1.2.10	2.2e-06
2.10.1.1	0.000133
2.2.1.1	6.7e-05
2.2.1.6	0.0062
2.3.1	5e-06
2.3.1.107	1.3e-06
2.3.1.12	2.9e-05
2.3.1.133	5e-05
2.3.1.146	5e-07
2.3.1.15	2.78e-06
2.3.1.159	3.8e-06
2.3.1.16	3e-06
2.3.1.172	5.4e-06
2.3.1.177	7e-07
2.3.1.195	1.05e-05
2.3.1.196	8.42e-06
2.3.1.206	5.69e-05
2.3.1.208	8e-07
2.3.1.214	4.6e-06
2.3.1.224	2.4e-05
2.3.1.232	2.51e-06
2.3.1.30	2e-05
2.3.1.35	0.0034
2.3.1.4	0.000145
2.3.1.74	9e-07
2.3.1.87	0.00027
2.3.1.9	1.1e-05
2.3.2.2	9e-05
2.4.1	1.216e-05
2.4.1.1	0.00023
2.4.1.101	5e-05
2.4.1.111	2e-05
2.4.1.118	4e-05
2.4.1.120	0.00025
2.4.1.121	0.00014
2.4.1.126	0.00018
2.4.1.13	1.91e-06
2.4.1.14	5.8e-05
2.4.1.17	1.9e-05
2.4.1.170	7.7e-07
2.4.1.173	3e-06
2.4.1.195	5.8e-06
2.4.1.202	6.1e-05
2.4.1.203	2.8e-05
2.4.1.207	3.1e-05
2.4.1.21	3.3e-05
2.4.1.215	4.6e-05
2.4.1.234	9.6e-07
2.4.1.236	1.1e-06
2.4.1.238	0.00012
2.4.1.253	5.24e-05
2.4.1.263	0.00127014
2.4.1.298	3.14e-05
2.4.1.299	4.44e-06
2.4.1.300	2.29e-05
2.4.1.35	9e-05
2.4.1.43	1.1e-05
2.4.1.46	0.000565
2.4.1.67	0.0139
2.4.1.82	0.00047
2.4.1.85	0.00013
2.4.2.10	3.5e-06
2.4.2.14	0.0004
2.4.2.17	0.00013
2.4.2.19	1.2e-05
2.4.2.40	2e-06
2.4.2.7	1.5e-05
2.4.2.9	7e-07
2.5.1	0.001334
2.5.1.1	8.5e-06
2.5.1.10	1.6e-06
2.5.1.115	4e-07
2.5.1.116	1.4e-07
2.5.1.136	5.01e-06
2.5.1.15	1e-06
2.5.1.16	6.7e-06
2.5.1.18	7.1e-05
2.5.1.27	1.62e-05
2.5.1.3	1.79e-06
2.5.1.32	2.7e-07
2.5.1.45	7e-06
2.5.1.46	1.3e-06
2.5.1.47	3.5e-06
2.5.1.48	0.00018
2.5.1.93	5.1e-06
2.6.1	0.0051
2.6.1.1	2e-05
2.6.1.2	6e-05
2.6.1.21	0.001
2.6.1.36	0.00053
2.6.1.4	0.00014
2.6.1.42	0.00014058
2.6.1.44	7e-05
2.6.1.45	0.00011
2.6.1.51	0.00039
2.6.1.52	2.25e-05
2.6.1.83	3.8e-05
2.6.1.85	1.3e-06
2.6.1.88	4.52e-05
2.7.1.1	1.4e-05
2.7.1.105	0.00032
2.7.1.107	0.0001
2.7.1.11	2.1e-05
2.7.1.151	1.46e-05
2.7.1.2	3e-05
2.7.1.25	1e-06
2.7.1.26	7.1e-09
2.7.1.30	5.5e-05
2.7.1.31	0.00018
2.7.1.36	0.0001
2.7.1.39	0.00032
2.7.1.4	3.3e-05
2.7.1.40	2.9e-06
2.7.1.43	0.000697
2.7.1.49	6.58e-06
2.7.1.6	0.0005
2.7.1.64	3.6e-05
2.7.1.90	7e-09
2.7.11	2.04e-05
2.7.11.1	3e-07
2.7.11.32	2.6e-05
2.7.2.11	0.0027
2.7.2.3	0.00024
2.7.2.4	0.00034
2.7.2.8	0.0017
2.7.4.2	4.2e-05
2.7.4.3	9.9e-05
2.7.4.6	7e-05
2.7.4.8	6.4e-06
2.7.6.1	4.8e-05
2.7.6.2	9.6e-07
2.7.6.3	1e-06
2.7.6.3 2.5.1.15	1e-06
2.7.7	6.9e-06
2.7.7.14	8.3e-05
2.7.7.15	0.00036
2.7.7.23	6.5e-05
2.7.7.27	2.5e-05
2.7.7.3	3.7e-05
2.7.7.4	3.7e-07
2.7.7.44	0.00033
2.7.7.57	0.0021
2.7.7.60	0.000114
2.7.7.64	4.8e-05
2.7.7.69	4.4e-06
2.7.7.9	1.6e-05
2.7.8.11	9e-06
2.7.8.2	9.7e-06
2.7.8.5	1.2e-05
2.7.9.1	0.0
2.7.9.4	2.3e-07
2.8.1.1	0.0007
2.8.1.2	0.0037
2.8.1.7	4.3e-05
2.8.1.9	5e-05
2.8.2	4e-07
3.1.1	8.6e-06
3.1.1.1	2.4e-08
3.1.1.14	1.76e-06
3.1.1.49	2.6e-06
3.1.1.6	0.00032
3.1.1.96	1.1e-06
3.1.2.21	1.9e-06
3.1.2.4	3.7e-06
3.1.2.6	9e-06
3.1.26.5	3e-07
3.1.3	0.0085
3.1.3.11	1.5e-06
3.1.3.2	0.0
3.1.3.24	8e-06
3.1.3.25	6.1e-05
3.1.3.36	0.000101
3.1.3.37	1.33e-05
3.1.3.41	0.015
3.1.3.46	2.4e-08
3.1.3.48	0.05
3.1.3.56	0.000233
3.1.3.86	0.000211
3.1.3.93	2.2e-05
3.1.4	0.00025
3.1.4.37	0.0092
3.1.7.11	2.1e-05
3.2.1.1	0.00022
3.2.1.14	0.00051
3.2.1.147	2.3e-05
3.2.1.152	7.5e-05
3.2.1.161	9e-05
3.2.1.182	9.8e-05
3.2.1.188	1.2e-05
3.2.1.20	0.0037
3.2.1.206	0.00248
3.2.1.21	3.1e-05
3.2.1.22	0.00022
3.2.1.23	0.00046
3.2.1.25	0.00023
3.2.1.26	0.00035
3.2.1.37	0.00059
3.2.1.39	0.000172
3.2.1.55	0.00048
3.2.1.58	0.0014
3.2.1.7	0.0349
3.2.1.74	0.00029
3.2.1.78	0.0053
3.2.2.16	4.1e-07
3.3.1.1	4.1e-05
3.3.2.10	1.5e-05
3.4	3.07e-05
3.4.11.1	0.00016
3.4.13	0.00151
3.4.19.16	3.7e-05
3.4.19.5	0.000136
3.4.22	1e-06
3.4.22.2	7.9e-05
3.4.22.25	0.00061
3.4.23	8.1e-05
3.5.1.1	0.00089
3.5.1.116	4e-05
3.5.1.2	0.0022
3.5.1.3	0.00443
3.5.1.5	0.00053
3.5.1.6	6e-06
3.5.1.88	7.8e-05
3.5.1.98	5.5e-05
3.5.1.99	1.36e-05
3.5.2.17	1.5e-05
3.5.2.5	0.005472
3.5.3.1	0.0182
3.5.3.11	7.26e-05
3.5.3.9	7.2e-05
3.5.4	3.17e-06
3.5.4.16	4.6e-05
3.5.4.6	0.00015
3.5.5.4	0.00093
3.6.1	9.6e-06
3.6.1.1	1.9e-06
3.6.1.13	1.69e-05
3.6.1.18	9.1e-06
3.6.1.21	1.235e-06
3.6.1.22	1.37e-05
3.6.1.5	0.00044
3.6.1.55	6.8e-06
3.6.1.9	0.0005
3.6.3	0.000348
3.6.4.6	5.22e-05
3.9.1	3e-06
4.1.1	8.3e-06
4.1.1.1	0.0005
4.1.1.15	2e-06
4.1.1.17	0.000398
4.1.1.18	0.00076
4.1.1.19	8.15e-06
4.1.1.25	0.000745
4.1.1.28	0.000729
4.1.1.31	2.8e-05
4.1.1.33	4e-06
4.1.1.35	8.6e-06
4.1.1.39	6e-06
4.1.1.50	2.28e-05
4.1.2.10	9.3e-05
4.1.2.11	0.013
4.1.2.13	1e-06
4.1.2.47	0.0004
4.1.2.48	0.0038
4.1.2.8	1.3e-05
4.1.3.1	6e-05
4.1.3.27	1e-05
4.2.1.1	0.0006
4.2.1.105	2.9e-05
4.2.1.11	2.5e-05
4.2.1.122	1e-05
4.2.1.139	0.0002
4.2.1.17	0.000115
4.2.1.2	0.0004
4.2.1.51	0.00068
4.2.1.59	2.9e-06
4.2.1.65	0.00093
4.2.1.9	0.00048
4.2.1.91	0.00011
4.2.1.92	2.8e-06
4.2.3	2.1e-07
4.2.3.1	3e-05
4.2.3.107	1.47e-06
4.2.3.108	2e-07
4.2.3.110	3.59e-06
4.2.3.128	1.07e-06
4.2.3.16	6e-06
4.2.3.17	9.6e-07
4.2.3.199	1.044e-05
4.2.3.20	4.66e-06
4.2.3.26	6.4e-05
4.2.3.4	3.2e-06
4.2.3.46	3e-06
4.2.3.47	9.8e-07
4.2.3.48	8.1e-06
4.2.3.56	4.5e-06
4.2.3.67	1.91e-06
4.2.3.76	1.5e-06
4.3.1.19	2.81e-06
4.3.1.23	0.0005326
4.3.1.24	1e-05
4.3.1.25	1.9e-05
4.3.2.3	6e-06
4.3.2.7	0.0017
4.3.3.7	0.0004
4.4.1.1	0.0004
4.4.1.14	8.3e-06
4.4.1.16	0.0002
4.4.1.28	0.0002
4.4.1.3	0.00022
4.4.1.5	2.483e-05
4.4.1.9	3.1e-05
4.6.1.12	0.000483
4.99.1.1	5e-06
5.1.3.1	0.00025
5.1.3.18	4.5e-06
5.1.3.2	4e-05
5.1.3.5	0.00016
5.1.3.6	0.00019
5.2.1.13	5.5e-07
5.3.1.1	1.281e-07
5.3.1.6	0.00052
5.3.1.8	4.13e-05
5.3.1.9	0.00027
5.4.2.12	0.00021
5.4.2.2	1.8e-06
5.4.2.8	0.00137
5.4.4.2	4.15e-05
5.4.99.5	4.5e-05
5.5.1.19	8.59e-06
5.5.1.4	1.3e-07
5.5.1.6	8.4e-06
5.5.1.8	3e-06
6.1.1.16	4.3e-05
6.2.1	6e-06
6.2.1.12	1.4e-06
6.2.1.3	6e-06
6.3.1.2	0.0
6.3.2	8.4e-05
6.3.2.2	0.0016
6.3.2.52	1.212e-05
6.3.3.2	5.8e-06
6.3.4.3	3e-06
6.3.4.4	1.6e-05
6.4.1.2	1e-05
6.4.1.4	1.1e-05
6.6.1.1	0.00046
7.1.2.1	0.00013
7.3.2.1	7.87e-05
7.4.2.1	0.000248
