Entry	Entry Name
A0A059BVZ9	A0A059BVZ9_EUCGR
A0A061F7E8	A0A061F7E8_THECC
A0A067DTC1	A0A067DTC1_CITSI
A0A067E4B1	A0A067E4B1_CITSI
A0A067GUU4	A0A067GUU4_CITSI
A0A067GXS4	A0A067GXS4_CITSI
A0A068UBG2	A0A068UBG2_COFCA
A0A072UU47	A0A072UU47_MEDTR
A0A078FP62	A0A078FP62_BRANA
A0A078FPT9	A0A078FPT9_BRANA
A0A078FYF4	A0A078FYF4_BRANA
A0A078G6Z2	A0A078G6Z2_BRANA
A0A078GFN2	A0A078GFN2_BRANA
A0A078GXK3	A0A078GXK3_BRANA
A0A078GZA4	A0A078GZA4_BRANA
A0A078HHE0	A0A078HHE0_BRANA
A0A078HZ90	A0A078HZ90_BRANA
A0A078I356	A0A078I356_BRANA
A0A078IA98	A0A078IA98_BRANA
A0A078IC86	A0A078IC86_BRANA
A0A078ICT4	A0A078ICT4_BRANA
A0A078IJD6	A0A078IJD6_BRANA
A0A078IMI1	A0A078IMI1_BRANA
A0A078IRG0	A0A078IRG0_BRANA
A0A078IU76	A0A078IU76_BRANA
A0A078IUN1	A0A078IUN1_BRANA
A0A078J249	A0A078J249_BRANA
A0A078J321	A0A078J321_BRANA
A0A078J9W7	A0A078J9W7_BRANA
A0A078JA93	A0A078JA93_BRANA
A0A078JRY4	A0A078JRY4_BRANA
A0A087G6R6	A0A087G6R6_ARAAL
A0A087GAA4	A0A087GAA4_ARAAL
A0A087GAA6	A0A087GAA6_ARAAL
A0A087GB29	A0A087GB29_ARAAL
A0A087GE42	A0A087GE42_ARAAL
A0A087GH04	A0A087GH04_ARAAL
A0A087GKF8	A0A087GKF8_ARAAL
A0A087GKI3	A0A087GKI3_ARAAL
A0A087HAZ7	A0A087HAZ7_ARAAL
A0A087HE84	A0A087HE84_ARAAL
A0A087HGJ8	A0A087HGJ8_ARAAL
A0A087HIA3	A0A087HIA3_ARAAL
A0A087HKZ6	A0A087HKZ6_ARAAL
A0A087HMX5	A0A087HMX5_ARAAL
A0A087HMX9	A0A087HMX9_ARAAL
A0A087HN25	A0A087HN25_ARAAL
A0A087HN26	A0A087HN26_ARAAL
A0A0A0K9V3	A0A0A0K9V3_CUCSA
A0A0D3B3G5	A0A0D3B3G5_BRAOL
A0A0D3BM61	A0A0D3BM61_BRAOL
A0A0D3BMN3	A0A0D3BMN3_BRAOL
A0A0D3BMN4	A0A0D3BMN4_BRAOL
A0A0D3BPH6	A0A0D3BPH6_BRAOL
A0A0D3C7K2	A0A0D3C7K2_BRAOL
A0A0D3CB99	A0A0D3CB99_BRAOL
A0A0D3CCV6	A0A0D3CCV6_BRAOL
A0A0D3CJM1	A0A0D3CJM1_BRAOL
A0A0D3DKE8	A0A0D3DKE8_BRAOL
A0A0D3DSR1	A0A0D3DSR1_BRAOL
A0A0D3DZR3	A0A0D3DZR3_BRAOL
A0A0D3EA85	A0A0D3EA85_BRAOL
A0A0D3F030	A0A0D3F030_9ORYZ
A0A0D9VBM1	A0A0D9VBM1_9ORYZ
A0A0D9VFW3	A0A0D9VFW3_9ORYZ
A0A0E0CES5	A0A0E0CES5_9ORYZ
A0A0E0G0F5	A0A0E0G0F5_ORYNI
A0A0E0JUY4	A0A0E0JUY4_ORYPU
A0A0J8CMU6	A0A0J8CMU6_BETVV
A0A0R0EPY9	A0A0R0EPY9_SOYBN
A0A0R0G789	A0A0R0G789_SOYBN
A0A0R0GFB2	A0A0R0GFB2_SOYBN
A0A0R0IM88	A0A0R0IM88_SOYBN
A0A0R0IME8	A0A0R0IME8_SOYBN
A0A0R0J787	A0A0R0J787_SOYBN
A0A103XBJ3	A0A103XBJ3_CYNCS
A0A103XSI6	A0A103XSI6_CYNCS
A0A161WTM8	A0A161WTM8_DAUCS
A0A178V8W8	A0A178V8W8_ARATH
A0A178VCE1	A0A178VCE1_ARATH
A0A178VP47	A0A178VP47_ARATH
A0A178WKF9	A0A178WKF9_ARATH
A0A197JCL0	A0A197JCL0_9FUNG
A0A197JH87	A0A197JH87_9FUNG
A0A1J6J6A4	A0A1J6J6A4_NICAT
